,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
401,Gonzalo Verdú,33,"Oct 21, 1988",Spain,ELCHE,,Centre-Back,0.7,23,1,0,1656,0,0,1.88,"Jul 1, 2017","Jun 30, 2023",/gonzalo-verdu/profil/spieler/184779
402,Sergio Bono,21,"Jul 24, 2000",Spain,ELCHE,,Centre-Back,0.025,10,2,0,655,0,0,1.88,-,"Jun 30, 2024",/sergio-bono/profil/spieler/622623
403,John Donald,21,"Sep 25, 2000",Spain,ELCHE,,Centre-Back,,5,0,0,294,0,0,1.82,"Jul 1, 2022","Jun 30, 2025",/john-donald/profil/spieler/627290
406,Helibelton Palacios,29,"Jun 11, 1993",Colombia,ELCHE,,Right-Back,1.2,29,0,0,2100,0,0,1.81,"Feb 4, 2021","Jun 30, 2023",/helibelton-palacios/profil/spieler/211389
408,Carles Marco,22,"Apr 5, 2000 ",Spain,ELCHE,,Right-Back,,-,0,0,0,0,0,1.83,-,"Jun 30, 2023",/carles-marco/profil/spieler/623023
409,Omar Mascarell,29,"Feb 2, 1993 ",Spain,ELCHE,,Defensive Midfield,4.0,32,0,0,2506,0,0,1.81,"Aug 23, 2021","Jun 30, 2025",/omar-mascarell/profil/spieler/142031
410,Gerard Gumbau,27,"Dec 18, 1994",Spain,ELCHE,,Defensive Midfield,3.0,37,0,6,2308,0,0,1.88,"Aug 31, 2021","Jun 30, 2023",/gerard-gumbau/profil/spieler/268670
411,Iván Marcone,32,"Jun 3, 1990 ",Argentina,ELCHE,,Defensive Midfield,2.0,42,1,1,2448,0,0,1.82,"Jul 1, 2021","Dec 31, 2024",/ivan-marcone/profil/spieler/90451
412,Raúl Guti,25,"Dec 30, 1996",Spain,ELCHE,,Central Midfield,4.0,35,1,0,2000,0,0,1.78,"Sep 20, 2020","Jun 30, 2025",/raul-guti/profil/spieler/330352
414,César Moreno,21,"Apr 23, 2001",Spain,ELCHE,,Central Midfield,0.2,30,1,0,2564,0,0,1.83,-,"Jun 30, 2024",/cesar-moreno/profil/spieler/672953
415,Jony Álamo,20,"Sep 25, 2001",Spain,ELCHE,,Central Midfield,0.05,12,0,1,467,0,0,1.75,-,"Jun 30, 2023",/jony-alamo/profil/spieler/786438
416,Javier Pastore,33,"Jun 20, 1989",Argentina,ELCHE,,Attacking Midfield,0.9,15,0,0,664,0,0,1.87,"Sep 4, 2021",-,/javier-pastore/profil/spieler/55215
417,Pere Milla,29,"Sep 23, 1992",Spain,ELCHE,,Left Winger,3.0,36,8,3,1949,0,0,1.8,"Jul 1, 2019","Jun 30, 2025",/pere-milla/profil/spieler/225593
418,Tete Morente,25,"Dec 4, 1996 ",Spain,ELCHE,,Left Winger,3.0,34,3,3,1691,0,0,1.84,"Sep 16, 2020","Jun 30, 2024",/tete-morente/profil/spieler/339816
419,Fidel,32,"Oct 27, 1989",Spain,ELCHE,,Left Winger,2.0,37,5,6,2463,0,0,1.8,"Jul 1, 2019","Jun 30, 2024",/fidel/profil/spieler/149231
421,Josan,32,"Dec 3, 1989 ",Spain,ELCHE,,Right Winger,1.0,34,2,4,1410,0,0,1.76,"Jan 1, 2018","Jun 30, 2023",/josan/profil/spieler/277533
