,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
73,Nacho Monreal,36,"Feb 26, 1986",Spain,REAL SOCIEDAD,out,Left-Back,,0,0,0,0,0,0,1.79,/nacho-monreal/profil/spieler/43003,"Aug 31, 2019",-
76,Marc Bartra,31,"Jan 15, 1991",Spain,REAL BETIS,1.25,Centre-Back,5.0,32,2,0,2827,0,0,1.84,/marc-bartra/profil/spieler/99922,"Jan 30, 2018","Jun 30, 2025"
77,Joel Robles,32,"Jun 17, 1990",Spain,REAL BETIS,out,Goalkeeper,1.2,3,0,0,300,2,2,1.97,/joel-robles/profil/spieler/101118,"Jul 1, 2018","Jun 30, 2023"
78,Raúl García,21,"Nov 3, 2000 ",Spain,REAL BETIS,out,Centre-Forward,1.5,35,6,1,2286,0,0,1.92,/raul-garcia/profil/spieler/631002,"Jul 1, 2022","Jun 30, 2023"
79,Diego Lainez,22,"Jun 9, 2000 ",Mexico,REAL BETIS,out,Right Winger,2.5,13,2,0,440,0,0,1.68,/diego-lainez/profil/spieler/371174,"Jan 10, 2019","Dec 31, 2023"
80,Rober González,21,"Jan 8, 2001 ",Spain,REAL BETIS,out,Right Winger,2.0,28,2,1,1109,0,0,1.69,/rober-gonzalez/profil/spieler/505675,"Aug 1, 2020","Jun 30, 2023"
81,Cristian Tello,30,"Aug 11, 1991",Spain,REAL BETIS,out,Left Winger,3.0,40,5,3,1467,0,0,1.78,/cristian-tello/profil/spieler/141834,"Jul 1, 2017","Jun 30, 2024"
84,Pervis Estupiñán,24,"Jan 21, 1998",Ecuador,VILLARREAL,17.8,Left-Back,20.0,41,0,2,2344,0,0,1.75,/pervis-estupinan/profil/spieler/349599,"Sep 16, 2020","Jun 30, 2027"
85,Moi Gómez,28,"Jun 23, 1994",Spain,VILLARREAL,1.8,Left Winger,8.0,38,3,3,1715,0,0,1.76,/moi-gomez/profil/spieler/175449,"Jul 18, 2019","Jun 30, 2027"
86,Boulaye Dia,25,"Nov 16, 1996",Senegal,VILLARREAL,0.1,Centre-Forward,12.0,35,7,6,1651,0,0,1.8,/boulaye-dia/profil/spieler/626913,"Jul 13, 2021","Jun 30, 2023"
87,Paco Alcácer,28,"Aug 30, 1993",Spain,VILLARREAL,out,Centre-Forward,8.0,23,5,5,998,0,0,1.75,/paco-alcacer/profil/spieler/126716,"Jan 30, 2020","Jun 30, 2025"
88,Mario Gaspar,31,"Nov 24, 1990",Spain,VILLARREAL,out,Right-Back,1.2,18,0,0,957,0,0,1.8,/mario-gaspar/profil/spieler/73250,"Jan 1, 2011",-
89,Sergio Asenjo,33,"Jun 28, 1989",Spain,VILLARREAL,out,Goalkeeper,2.5,8,0,0,750,10,1,1.89,/sergio-asenjo/profil/spieler/51710,"Jul 1, 2014","Jun 30, 2024"
90,Xavi Quintillà,25,"Aug 23, 1996",Spain,VILLARREAL,out,Left-Back,1.0,18,1,1,1277,0,0,1.77,/xavi-quintilla/profil/spieler/204102,"Jul 1, 2019","Jun 30, 2023"
91,Rubén Peña,30,"Jul 18, 1991",Spain,VILLARREAL,out,Right-Back,2.5,11,0,0,281,0,0,1.7,/ruben-pena/profil/spieler/238868,"Jul 4, 2019","Jun 30, 2025"
92,Álex Millán,22,"Nov 7, 1999 ",Spain,VILLARREAL,out,Centre-Forward,0.8,28,4,2,1333,0,0,1.82,/alex-millan/profil/spieler/412041,"Jul 1, 2021","Jun 30, 2024"
93,Vicente Iborra,34,"Jan 16, 1988",Spain,VILLARREAL,out,Defensive Midfield,2.0,24,0,1,1221,0,0,1.9,/vicente-iborra/profil/spieler/65467,"Jan 7, 2019","Jun 30, 2023"
94,Serge Aurier,29,"Dec 24, 1992",Cote d'Ivoire,VILLARREAL,out,Right-Back,6.0,24,0,2,1131,0,0,1.76,/serge-aurier/profil/spieler/127032,"Oct 4, 2021","Jun 30, 2023"
95,Fer Niño,21,"Oct 24, 2000",Spain,VILLARREAL,out,Centre-Forward,3.0,25,2,0,1035,0,0,1.91,/fer-nino/profil/spieler/627294,"Aug 1, 2020","Jun 30, 2024"
96,Javi Ontiveros,24,"Sep 9, 1997 ",Spain,VILLARREAL,out,Left Winger,0.8,21,2,5,1340,0,0,1.75,/javi-ontiveros/profil/spieler/298983,"Aug 20, 2019","Jun 30, 2024"
98,Unai López,26,"Oct 30, 1995",Spain,ATHLETIC BILBAO,out,Central Midfield,3.5,30,0,1,1297,0,0,1.7,/unai-lopez/profil/spieler/192009,"Jul 1, 2016","Jun 30, 2023"
99,Jokin Ezkieta,25,"Aug 17, 1996",Spain,ATHLETIC BILBAO,out,Goalkeeper,0.3,0,0,0,0,0,0,1.93,/jokin-ezkieta/profil/spieler/379548,"Aug 4, 2020","Jun 30, 2024"
100,Iñigo Córdoba,25,"Mar 13, 1997",Spain,ATHLETIC BILBAO,out,Left Winger,2.5,35,12,2,2706,0,0,1.8,/inigo-cordoba/profil/spieler/251848,"Jul 1, 2017","Jun 30, 2023"
