,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
513,Guédé Nadje,18,"Nov 12, 2003",France,ANGERS,,Centre-Forward,0.2,17,3,0,1088,0,0,-,-,"Jun 30, 2024",/guede-nadje/profil/spieler/855160
514,Gauthier Gallon,29,"Apr 23, 1993",France,TROYES,,Goalkeeper,2.5,31,0,0,2790,45,8,1.86,"Jul 1, 2019","Jun 30, 2024",/gauthier-gallon/profil/spieler/193256
516,Jessy Moulin,36,"Jan 13, 1986",France,TROYES,,Goalkeeper,0.25,8,0,0,720,9,1,1.84,"Jul 19, 2021","Jun 30, 2023",/jessy-moulin/profil/spieler/33925
520,Yoann Salmier,29,"Nov 21, 1992",French Guiana,TROYES,,Centre-Back,2.0,31,0,1,2671,0,0,1.88,"Jul 1, 2019","Jun 30, 2024",/yoann-salmier/profil/spieler/351843
523,Tanguy Zoukrou,19,"May 7, 2003 ",France,TROYES,,Centre-Back,0.4,12,0,0,740,0,0,1.89,"Jul 1, 2022","Jun 30, 2024",/tanguy-zoukrou/profil/spieler/917120
524,Adil Rami,36,"Dec 27, 1985",France,TROYES,,Centre-Back,0.4,19,3,0,1353,0,0,1.91,"Aug 24, 2021","Jun 30, 2023",/adil-rami/profil/spieler/51118
525,Eric N'Jo,18,"Jun 1, 2004 ",France,TROYES,,Centre-Back,0.4,10,0,0,816,0,0,1.87,"Jul 1, 2022","Jun 30, 2025",/eric-njo/profil/spieler/991649
527,Nathan Gassama,21,"Jan 5, 2001 ",France,TROYES,,Centre-Back,0.1,14,2,1,1260,0,0,1.91,-,-,/nathan-gassama/profil/spieler/815346
528,Rudy Kohon,18,"May 23, 2004",France,TROYES,,Centre-Back,0.1,13,2,0,1117,0,0,-,-,-,/rudy-kohon/profil/spieler/917101
529,Lassine Soumaoro,19,"Dec 19, 2002",Mali,TROYES,,Centre-Back,0.1,5,1,0,317,0,0,-,-,-,/lassine-soumaoro/profil/spieler/976271
530,Abdu Conté,24,"Mar 24, 1998",Portugal,TROYES,,Left-Back,3.0,37,0,2,3053,0,0,1.83,"Jan 12, 2022","Jun 30, 2026",/abdu-conte/profil/spieler/337798
531,Yasser Larouci,21,"Jan 1, 2001 ",France,TROYES,,Left-Back,2.5,15,0,1,505,0,0,1.76,"Jul 28, 2021","Jun 30, 2026",/yasser-larouci/profil/spieler/554251
533,Mathis Hamdi,18,"Oct 18, 2003",France,TROYES,,Left-Back,0.1,13,0,0,960,0,0,1.8,-,-,/mathis-hamdi/profil/spieler/982864
537,Benrandy Abdallah,22,"Jul 1, 1999 ",France,TROYES,,Right-Back,0.15,,0,0,0,0,0,1.84,-,"Jun 30, 2023",/benrandy-abdallah/profil/spieler/485959
538,Anas Namri,20,"Nov 12, 2001",Morocco,TROYES,,Right-Back,0.1,16,1,3,1440,0,0,1.68,-,"Jun 30, 2023",/anas-namri/profil/spieler/972473
539,Bachir Diop,19,"Aug 21, 2002",France,TROYES,,Defensive Midfield,0.1,14,2,0,1016,0,0,-,-,-,/bachir-diop/profil/spieler/972479
540,Rominigue Kouamé,25,"Dec 17, 1996",Mali,TROYES,,Central Midfield,5.0,34,1,2,2976,0,0,1.77,"Jul 1, 2021","Jun 30, 2024",/rominigue-kouame/profil/spieler/277635
541,Xavier Chavalerin,31,"Mar 7, 1991 ",France,TROYES,,Central Midfield,3.5,38,5,2,2975,0,0,1.79,"Aug 29, 2021","Jun 30, 2024",/xavier-chavalerin/profil/spieler/118278
543,Florian Tardieu,30,"Apr 22, 1992",France,TROYES,,Central Midfield,3.0,30,4,2,2631,0,0,1.84,"Jul 24, 2019","Jun 30, 2024",/florian-tardieu/profil/spieler/212804
544,Tristan Dingomé,31,"Feb 17, 1991",Cameroon,TROYES,,Central Midfield,1.5,25,2,5,1074,0,0,1.74,"Oct 5, 2020",-,/tristan-dingome/profil/spieler/126683
545,Filip Krastev,20,"Oct 15, 2001",Bulgaria,TROYES,,Central Midfield,0.9,21,4,5,1556,0,0,1.78,"Jan 28, 2021","Jun 30, 2023",/filip-krastev/profil/spieler/486814
546,Derek Mazou-Sacko,17,"Oct 6, 2004 ",France,TROYES,,Central Midfield,0.25,19,0,0,1452,0,0,-,-,-,/derek-mazou-sacko/profil/spieler/917104
553,Renaud Ripart,29,"Mar 14, 1993",France,TROYES,,Right Winger,4.0,29,3,3,1992,0,0,1.81,"Jul 15, 2021","Jun 30, 2025",/renaud-ripart/profil/spieler/234802
556,Alexis Lefebvre,19,"May 21, 2003",France,TROYES,,Right Winger,0.1,12,7,2,740,0,0,1.66,-,"Jun 30, 2023",/alexis-lefebvre/profil/spieler/857154
558,Mama Baldé,26,"Nov 6, 1995 ",Guinea-Bissau,TROYES,,Centre-Forward,4.5,31,3,4,1768,0,0,1.76,"Jul 31, 2021","Jun 30, 2025",/mama-balde/profil/spieler/325223
563,Mamadou Camara,21,"Feb 7, 2001 ",France,TROYES,,Centre-Forward,0.2,22,7,0,1591,0,0,1.84,-,"Jun 30, 2025",/mamadou-camara/profil/spieler/857148
567,Teddy Bartouche,25,"Jun 5, 1997 ",France,LORIENT,,Goalkeeper,0.15,6,0,0,540,6,0,1.78,"Jul 1, 2020","Jun 30, 2023",/teddy-bartouche/profil/spieler/629587
568,Julien Laporte,28,"Nov 4, 1993 ",France,LORIENT,,Centre-Back,3.0,33,2,0,2892,0,0,1.85,"Jul 8, 2019","Jun 30, 2025",/julien-laporte/profil/spieler/386057
574,Bamo Meïté,21,"Jun 20, 2001",Cote d'Ivoire,LORIENT,,Centre-Back,0.1,21,0,0,1814,0,0,1.83,"Jul 1, 2022","Jun 30, 2026",/bamo-meite/profil/spieler/807165
575,Vincent Le Goff,32,"Oct 15, 1989",France,LORIENT,,Left-Back,1.0,34,1,1,3060,0,0,1.77,"Jul 17, 2014","Jun 30, 2024",/vincent-le-goff/profil/spieler/120651
576,Samuel Loric,21,"Jul 5, 2000 ",France,LORIENT,,Left-Back,0.6,11,0,0,942,0,0,1.83,"Jul 1, 2020","Jun 30, 2023",/samuel-loric/profil/spieler/648886
578,Igor Silva,25,"Aug 21, 1996",Brazil,LORIENT,,Right-Back,2.0,28,0,0,1571,0,0,1.73,"Jul 23, 2021","Jun 30, 2026",/igor-silva/profil/spieler/391720
579,Théo Le Bris,19,"Oct 1, 2002 ",France,LORIENT,,Right-Back,0.4,22,2,3,1522,0,0,1.7,"Jul 1, 2022","Jun 30, 2027",/theo-le-bris/profil/spieler/766412
581,Ronny Labonne,24,"Sep 14, 1997",France,LORIENT,,Right-Back,0.15,26,1,9,2303,0,0,-,-,"Jun 30, 2024",/ronny-labonne/profil/spieler/562175
582,Laurent Abergel,29,"Feb 1, 1993 ",France,LORIENT,,Defensive Midfield,3.0,35,0,2,2988,0,0,1.7,"Jul 26, 2019","Jun 30, 2025",/laurent-abergel/profil/spieler/238626
583,Bonke Innocent,26,"Jan 20, 1996",Nigeria,LORIENT,,Defensive Midfield,2.0,26,0,1,1841,0,0,1.78,"Jan 18, 2022","Jun 30, 2025",/bonke-innocent/profil/spieler/333383
586,Baptiste Mouazan,20,"Sep 27, 2001",France,LORIENT,,Central Midfield,0.2,23,2,0,1687,0,0,1.74,-,"Jun 30, 2025",/baptiste-mouazan/profil/spieler/804548
587,Redwan Bourlès,19,"Jan 2, 2003 ",France,LORIENT,,Left Midfield,0.3,21,6,2,1450,0,0,1.86,-,-,/redwan-bourles/profil/spieler/804547
