,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
33,Hee-chan Hwang,26,"Jan 26, 1996","Korea, South",LEIPZIG,16.7,Centre-Forward,12.0,34,5,2,1988,0,0,1.77,/hee-chan-hwang/profil/spieler/292246,"Jul 1, 2020","Jun 30, 2023"
34,Brian Brobbey,20,"Feb 1, 2002 ",Netherlands,LEIPZIG,16.35,Centre-Forward,14.0,28,8,4,808,0,0,1.8,/brian-brobbey/profil/spieler/473169,"Jan 1, 2019","Jun 30, 2027"
35,Nordi Mukiele,24,"Nov 1, 1997 ",France,LEIPZIG,12.0,Right-Back,20.0,38,2,5,2482,0,0,1.87,/nordi-mukiele/profil/spieler/348026,"Jul 15, 2020","Jun 30, 2026"
36,Ademola Lookman,24,"Oct 20, 1997",Nigeria,LEIPZIG,9.2,Second Striker,20.0,42,8,5,2346,0,0,1.74,/ademola-lookman/profil/spieler/406040,"Jul 1, 2021","Jun 30, 2027"
37,Alexander Sörloth,26,"Dec 5, 1995 ",Norway,LEIPZIG,1.5,Centre-Forward,10.0,44,8,1,2247,0,0,1.95,/alexander-sorloth/profil/spieler/238407,"Jul 1, 2018","Jun 30, 2027"
38,Eric Martel,20,"Apr 29, 2002",Germany,LEIPZIG,1.2,Defensive Midfield,4.0,34,3,4,3033,0,0,1.88,/eric-martel/profil/spieler/597000,"Jan 31, 2018","Jun 30, 2024"
39,Noah Ohio,19,"Jan 16, 2003",Netherlands,LEIPZIG,1.19,Centre-Forward,0.7,32,6,2,1254,0,0,1.83,/noah-ohio/profil/spieler/557410,"Sep 22, 2020","Jun 30, 2025"
40,Tom Krauß,21,"Jun 22, 2001",Germany,LEIPZIG,0.6,Central Midfield,6.0,33,3,4,2248,0,0,1.82,/tom-krauss/profil/spieler/405687,"Jan 14, 2021","Jun 30, 2023"
41,Sidney Raebiger,17,"Apr 17, 2005",Germany,LEIPZIG,0.08,Central Midfield,0.75,21,6,5,1581,0,0,1.76,/sidney-raebiger/profil/spieler/717345,"Jul 1, 2022","Jun 30, 2023"
42,Joscha Wosz,20,"Jul 20, 2002",Germany,LEIPZIG,out,Attacking Midfield,0.25,19,1,3,838,0,0,1.74,/joscha-wosz/profil/spieler/597004,"Jul 1, 2019","Jun 30, 2025"
43,Yvon Mvogo,28,"Jun 6, 1994 ",Switzerland,LEIPZIG,out,Goalkeeper,3.5,11,0,0,990,13,3,1.9,/yvon-mvogo/profil/spieler/147051,"Jul 1, 2021","Jun 30, 2025"
44,Solomon Bonnah,19,"Aug 19, 2003",Netherlands,LEIPZIG,out,Right-Back,0.5,27,1,4,2012,0,0,1.65,/solomon-bonnah/profil/spieler/508637,"Jul 1, 2021","Jun 30, 2024"
45,Angeliño,25,"Jan 4, 1997 ",Spain,LEIPZIG,out,Left-Back,20.0,45,3,13,3647,0,0,1.71,/angelino/profil/spieler/277179,"Jun 30, 2022","Jun 30, 2023"
46,Tim Schreiber,20,"Apr 24, 2002",Germany,LEIPZIG,out,Goalkeeper,0.6,23,0,0,2070,27,5,1.91,/tim-schreiber/profil/spieler/426685,"Jul 1, 2022","Jun 30, 2025"
47,Frederik Jäkel,21,"Mar 7, 2001 ",Germany,LEIPZIG,out,Centre-Back,1.2,26,3,1,2259,0,0,1.94,/frederik-jakel/profil/spieler/405679,"Jul 1, 2021","Jun 30, 2023"
48,Dennis Borkowski,20,"Jan 26, 2002",Germany,LEIPZIG,out,Left Winger,0.45,15,0,2,760,0,0,1.84,/dennis-borkowski/profil/spieler/467426,"Jul 1, 2020","Jun 30, 2024"
49,Ilaix Moriba,19,"Jan 19, 2003",Guinea,LEIPZIG,out,Central Midfield,7.0,24,0,1,1199,0,0,1.85,/ilaix-moriba/profil/spieler/617074,"Jul 1, 2019","Jun 30, 2024"
50,Mehmet Ibrahimi,19,"Feb 9, 2003 ",Germany,LEIPZIG,out,Left Winger,0.15,21,9,3,1498,0,0,1.82,/mehmet-ibrahimi/profil/spieler/605306,"Jul 1, 2020","Jun 30, 2025"
51,Ben Klefisch,19,"Jun 2, 2003 ",Germany,LEIPZIG,out,Central Midfield,,27,4,2,2102,0,0,1.86,/ben-klefisch/profil/spieler/692462,"Aug 31, 2021","Jun 30, 2023"
52,Josep Martínez,24,"May 27, 1998",Spain,LEIPZIG,out,Goalkeeper,1.9,3,0,0,270,3,2,1.91,/josep-martinez/profil/spieler/388516,"Jul 1, 2022","Jun 30, 2023"
53,Philipp Tschauner,36,"Nov 3, 1985 ",Germany,LEIPZIG,out,Goalkeeper,,1,0,0,3,0,1,1.96,/philipp-tschauner/profil/spieler/21726,"Jul 8, 2021","Jun 30, 2024"
54,Fabrice Hartmann,21,"Mar 2, 2001 ",Germany,LEIPZIG,out,Right Winger,0.25,11,0,0,434,0,0,1.78,/fabrice-hartmann/profil/spieler/405685,"Jul 15, 2020","Jun 30, 2023"
55,Taiwo Awoniyi,24,"Aug 12, 1997",Nigeria,UNION BERLIN,20.5,Centre-Forward,20.0,43,20,5,2892,0,0,1.83,/taiwo-awoniyi/profil/spieler/295313,"Jul 30, 2019",-
56,Marcus Ingvartsen,26,"Jan 4, 1996 ",Denmark,UNION BERLIN,2.3,Centre-Forward,3.5,32,7,0,893,0,0,1.87,/marcus-ingvartsen/profil/spieler/269878,"Jul 3, 2019","Jun 30, 2023"
57,Leon Dajaku,21,"Apr 12, 2001",Germany,UNION BERLIN,0.87,Second Striker,0.9,28,4,4,1611,0,0,1.8,/leon-dajaku/profil/spieler/483974,"Jul 20, 2021","Jun 30, 2027"
58,Dominique Heintz,28,"Aug 15, 1993",Germany,UNION BERLIN,0.6,Centre-Back,2.5,9,0,0,592,0,0,1.88,/dominique-heintz/profil/spieler/110036,"Jul 1, 2019","Jun 30, 2025"
59,Lennart Moser,22,"Dec 6, 1999 ",Germany,UNION BERLIN,0.15,Goalkeeper,0.6,7,0,0,606,7,2,1.96,/lennart-moser/profil/spieler/392717,"Jul 1, 2021","Jun 30, 2023"
60,Bastian Oczipka,33,"Jan 12, 1989",Germany,UNION BERLIN,out,Left-Back,0.4,21,0,2,1197,0,0,1.85,/bastian-oczipka/profil/spieler/53437,"Jan 1, 2022","Jun 30, 2023"
61,Pawel Wszolek,30,"Apr 30, 1992",Poland,UNION BERLIN,out,Right Midfield,1.2,16,6,3,1198,0,0,1.86,/pawel-wszolek/profil/spieler/164759,"Jul 1, 2017","Jun 30, 2023"
62,Andreas Luthe,35,"Mar 10, 1987",Germany,UNION BERLIN,out,Goalkeeper,0.5,34,0,0,3060,49,9,1.95,/andreas-luthe/profil/spieler/41323,"Aug 30, 2021",-
63,Suleiman Abdullahi,25,"Dec 10, 1996",Nigeria,UNION BERLIN,out,Centre-Forward,0.4,5,0,0,128,0,0,1.85,/suleiman-abdullahi/profil/spieler/356118,"Jul 1, 2021","Jun 30, 2025"
64,Grischa Prömel,27,"Jan 9, 1995 ",Germany,UNION BERLIN,out,Central Midfield,7.5,39,8,2,3086,0,0,1.84,/grischa-promel/profil/spieler/234029,"Aug 3, 2020",-
65,Anthony Ujah,31,"Oct 14, 1990",Nigeria,UNION BERLIN,out,Centre-Forward,0.6,3,0,0,32,0,0,1.8,/anthony-ujah/profil/spieler/142281,"Jul 1, 2019","Dec 31, 2025"
66,Andreas Voglsammer,30,"Jan 9, 1992 ",Germany,UNION BERLIN,out,Centre-Forward,1.0,45,6,2,1323,0,0,1.77,/andreas-voglsammer/profil/spieler/94771,"Jul 1, 2017","Jun 30, 2026"
