,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
455,Erik Gerbi,22,"Jun 11, 2000",Italy,SAMPDORIA,out,Centre-Forward,0.2,21,5,1,1334,0,0,1.81,/erik-gerbi/profil/spieler/410305,"Sep 1, 2020","Jun 30, 2023"
456,Antonio Candreva,35,"Feb 28, 1987",Italy,SAMPDORIA,out,Right Midfield,1.5,39,7,13,3268,0,0,1.8,/antonio-candreva/profil/spieler/25488,"Jul 1, 2021","Jun 30, 2023"
457,Matteo Stoppa,21,"Sep 27, 2000",Italy,SAMPDORIA,out,Centre-Forward,0.225,35,11,6,2594,0,0,1.74,/matteo-stoppa/profil/spieler/391899,"Jan 30, 2020","Jun 30, 2023"
458,Antonino La Gumina,26,"Mar 6, 1996 ",Italy,SAMPDORIA,out,Centre-Forward,1.7,34,9,3,2004,0,0,1.82,/antonino-la-gumina/profil/spieler/287876,"Jan 31, 2020","Jun 30, 2027"
459,Antonio Metlika,20,"Nov 24, 2001",Italy,SAMPDORIA,out,Defensive Midfield,0.175,27,1,2,2121,0,0,1.78,/antonio-metlika/profil/spieler/469018,"Jul 19, 2022","Jun 30, 2023"
460,Lorenzo Campaner,19,"Feb 8, 2003 ",Italy,SAMPDORIA,out,Right-Back,0.05,29,0,0,1772,0,0,-,/lorenzo-campaner/profil/spieler/704671,"Jul 1, 2021","Jun 30, 2023"
461,Wladimiro Falcone,27,"Apr 12, 1995",Italy,SAMPDORIA,out,Goalkeeper,3.5,12,0,0,1034,19,3,1.95,/wladimiro-falcone/profil/spieler/238537,"Jan 21, 2014","Jun 30, 2023"
462,Kristoffer Askildsen,21,"Jan 9, 2001 ",Norway,SAMPDORIA,out,Central Midfield,2.0,22,0,0,954,0,0,1.9,/kristoffer-askildsen/profil/spieler/574495,"Sep 1, 2020","Jun 30, 2023"
463,Leonardo Benedetti,22,"Jun 6, 2000 ",Italy,SAMPDORIA,out,Central Midfield,0.2,39,6,1,3061,0,0,1.8,/leonardo-benedetti/profil/spieler/423615,"Jul 18, 2019","Jun 30, 2026"
464,Felice D'Amico,21,"Aug 22, 2000",Italy,SAMPDORIA,out,Attacking Midfield,0.15,31,3,2,965,0,0,1.75,/felice-damico/profil/spieler/392500,"Sep 1, 2020","Jun 30, 2024"
465,Emanuel Ercolano,19,"Oct 15, 2002",Italy,SAMPDORIA,out,Right-Back,0.35,28,3,3,1926,0,0,-,/emanuel-ercolano/profil/spieler/567444,"Jun 30, 2022","Jun 30, 2024"
