,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
0,Mattéo Guendouzi,23,"Apr 14, 1999",France,Arsenal,11.0,Central Midfield,25.0,56,5,14,4660,0,0,1.85,/matteo-guendouzi/profil/spieler/465830,"Jun 30, 2021","Jun 30, 2023"
1,Lucas Torreira,26,"Feb 11, 1996",Uruguay,Arsenal,6.0,Defensive Midfield,15.0,35,5,2,2549,0,0,1.66,/lucas-torreira/profil/spieler/318077,"Jun 30, 2022","Jun 30, 2023"
2,Bernd Leno,30,"Mar 4, 1992 ",Germany,Arsenal,3.6,Goalkeeper,10.0,8,0,0,720,11,3,1.9,/bernd-leno/profil/spieler/72476,"Jul 1, 2018","Jun 30, 2025"
3,Konstantinos Mavropanos,24,"Dec 11, 1997",Greece,Arsenal,3.2,Centre-Back,15.0,33,5,1,2854,0,0,1.94,/konstantinos-mavropanos/profil/spieler/415912,"Jul 12, 2020","Jun 30, 2023"
4,Héctor Bellerín,27,"Mar 19, 1995",Spain,Arsenal,out,Right-Back,8.0,32,0,5,2562,0,0,1.78,/hector-bellerin/profil/spieler/191217,"Jul 1, 2014","Jun 30, 2023"
5,Alexandre Lacazette,31,"May 28, 1991",France,Arsenal,out,Centre-Forward,12.0,36,6,8,2101,0,0,1.76,/alexandre-lacazette/profil/spieler/93720,"Jul 5, 2017","Jun 30, 2025"
6,Folarin Balogun,21,"Jul 3, 2001 ",England,Arsenal,out,Centre-Forward,14.0,38,18,6,2330,0,0,1.78,/folarin-balogun/profil/spieler/503770,"Jul 1, 2022","Jun 30, 2023"
7,Nuno Tavares,22,"Jan 26, 2000",Portugal,Arsenal,out,Left-Back,18.0,28,1,2,1498,0,0,1.83,/nuno-tavares/profil/spieler/535955,"Jul 10, 2021","Jun 30, 2023"
8,Auston Trusty,23,"Aug 12, 1998",United States,Arsenal,out,Centre-Back,3.0,19,0,0,1710,0,0,1.9,/auston-trusty/profil/spieler/389253,"Jan 31, 2022","May 31, 2023"
9,Pablo Marí,28,"Aug 31, 1993",Spain,Arsenal,out,Centre-Back,5.0,18,2,0,1612,0,0,1.93,/pablo-mari/profil/spieler/210178,"Jul 1, 2020","Jun 30, 2023"
10,Rúnar Alex Rúnarsson,27,"Feb 18, 1995",Iceland,Arsenal,out,Goalkeeper,1.2,20,0,0,1755,32,2,1.86,/runar-alex-runarsson/profil/spieler/205657,"Sep 21, 2020","Jun 30, 2024"
11,Nicolas Pépé,27,"May 29, 1995",Cote d'Ivoire,Arsenal,out,Right Winger,22.0,23,3,6,951,0,0,1.83,/nicolas-pepe/profil/spieler/343052,"Aug 1, 2019","Jun 30, 2023"
