,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
136,Kevin Kampl,31,"Oct 9, 1990 ",Slovenia,LEIPZIG,,Central Midfield,6.0,40,0,1,3006,0,0,1.78,"Aug 31, 2017","Jun 30, 2024",/kevin-kampl/profil/spieler/53418
139,Dani Olmo,24,"May 7, 1998 ",Spain,LEIPZIG,,Attacking Midfield,40.0,31,4,5,1500,0,0,1.79,"Jan 25, 2020","Jun 30, 2024",/dani-olmo/profil/spieler/293385
140,Dominik Szoboszlai,21,"Oct 25, 2000",Hungary,LEIPZIG,,Attacking Midfield,28.0,45,10,9,2126,0,0,1.87,"Jan 1, 2021","Jun 30, 2026",/dominik-szoboszlai/profil/spieler/451276
141,Emil Forsberg,30,"Oct 23, 1991",Sweden,LEIPZIG,,Attacking Midfield,11.0,46,11,4,2364,0,0,1.77,"Jan 7, 2015","Jun 30, 2025",/emil-forsberg/profil/spieler/111078
144,Hugo Novoa,19,"Jan 24, 2003",Spain,LEIPZIG,,Right Winger,3.0,20,8,1,860,0,0,1.82,"Jul 1, 2021","Jun 30, 2024",/hugo-novoa/profil/spieler/668276
146,Christopher Nkunku,24,"Nov 14, 1997",France,LEIPZIG,,Second Striker,80.0,52,35,20,4271,0,0,1.78,"Jul 18, 2019","Jun 30, 2026",/christopher-nkunku/profil/spieler/344381
147,André Silva,26,"Nov 6, 1995 ",Portugal,LEIPZIG,,Centre-Forward,32.0,51,17,8,3219,0,0,1.85,"Jul 2, 2021","Jun 30, 2026",/andre-silva/profil/spieler/198008
149,Yussuf Poulsen,28,"Jun 15, 1994",Denmark,LEIPZIG,,Centre-Forward,14.0,37,7,3,1475,0,0,1.92,"Jul 4, 2013","Jun 30, 2024",/yussuf-poulsen/profil/spieler/157635
151,Frederik Rönnow,29,"Aug 4, 1992 ",Denmark,UNION BERLIN,,Goalkeeper,2.0,13,0,0,1200,10,4,1.88,"Jul 20, 2021","Jun 30, 2024",/frederik-ronnow/profil/spieler/107775
153,Jakob Busk,28,"Sep 12, 1993",Denmark,UNION BERLIN,,Goalkeeper,0.25,-,0,0,0,0,0,1.89,"Jan 15, 2016",-,/jakob-busk/profil/spieler/203411
154,Niklas Petzsch,18,"Jun 18, 2004",Germany,UNION BERLIN,,Goalkeeper,,14,0,0,1215,19,2,-,-,"Jun 30, 2023",/niklas-petzsch/profil/spieler/698776
155,Yannic Stein,17,"Sep 17, 2004",Germany,UNION BERLIN,,Goalkeeper,,6,0,0,494,11,2,-,-,"Jun 30, 2023",/yannic-stein/profil/spieler/698840
157,Paul Jaeckel,23,"Jul 22, 1998",Germany,UNION BERLIN,,Centre-Back,5.0,32,0,0,2555,0,0,1.86,"Jul 1, 2021",-,/paul-jaeckel/profil/spieler/284248
158,Timo Baumgartl,26,"Mar 4, 1996 ",Germany,UNION BERLIN,,Centre-Back,5.0,35,1,2,3081,0,0,1.9,"Jul 1, 2021","Jun 30, 2023",/timo-baumgartl/profil/spieler/187491
159,Robin Knoche,30,"May 22, 1992",Germany,UNION BERLIN,,Centre-Back,5.0,46,1,1,4170,0,0,1.89,"Aug 4, 2020","Jun 30, 2024",/robin-knoche/profil/spieler/94201
162,Sebastian Griesbeck,31,"Oct 3, 1990 ",Germany,UNION BERLIN,,Centre-Back,0.7,30,1,0,2449,0,0,1.89,"Jul 15, 2020","Jun 30, 2023",/sebastian-griesbeck/profil/spieler/153555
