,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
784,Gabriel Paletta,36,"Feb 15, 1986",Italy,MONZA,,Centre-Back,0.2,21,0,0,1437,0,0,1.9,"Nov 6, 2019",-,/gabriel-paletta/profil/spieler/30767
785,Carlos Augusto,23,"Jan 7, 1999 ",Brazil,MONZA,,Left-Back,4.5,37,3,1,3196,0,0,1.84,"Sep 1, 2020","Jun 30, 2024",/carlos-augusto/profil/spieler/585982
788,Giulio Donati,32,"Feb 5, 1990 ",Italy,MONZA,,Right-Back,0.6,31,0,1,2345,0,0,1.78,"Sep 1, 2020","Jun 30, 2023",/giulio-donati/profil/spieler/88684
789,Andrea Barberis,28,"Dec 11, 1993",Italy,MONZA,,Defensive Midfield,1.5,40,2,1,3018,0,0,1.77,"Sep 1, 2020","Jun 30, 2023",/andrea-barberis/profil/spieler/146680
790,Antonis Siatounis,19,"Aug 26, 2002",Greece,MONZA,,Defensive Midfield,0.45,2,0,0,22,0,0,1.86,"Jul 1, 2021","Jun 30, 2025",/antonis-siatounis/profil/spieler/554397
791,Matteo Scozzarella,34,"Jun 5, 1988 ",Italy,MONZA,,Defensive Midfield,0.3,4,0,0,218,0,0,1.7,"Jan 5, 2021",-,/matteo-scozzarella/profil/spieler/85208
795,José Machín,25,"Aug 14, 1996",Equatorial Guinea,MONZA,,Central Midfield,1.7,30,5,4,1771,0,0,1.84,"Jul 1, 2020","Jun 30, 2024",/jose-machin/profil/spieler/355104
797,Antonino Barillà,34,"Apr 1, 1988 ",Italy,MONZA,,Central Midfield,0.3,8,0,0,200,0,0,1.8,"Sep 1, 2020",-,/antonino-barilla/profil/spieler/39828
798,Salvatore Molina,30,"Jan 1, 1992 ",Italy,MONZA,,Right Midfield,1.1,39,0,1,3071,0,0,1.77,"Jan 5, 2022","Jun 30, 2023",/salvatore-molina/profil/spieler/163582
800,Samuele Vignato,18,"Feb 24, 2004",Italy,MONZA,,Attacking Midfield,0.6,13,1,1,412,0,0,1.72,"Aug 11, 2021","Jun 30, 2025",/samuele-vignato/profil/spieler/650966
801,Patrick Ciurria,27,"Feb 9, 1995 ",Italy,MONZA,,Right Winger,1.6,39,5,8,1976,0,0,1.78,"Jul 31, 2021","Jun 30, 2024",/patrick-ciurria/profil/spieler/255838
802,Marco D'Alessandro,31,"Feb 17, 1991",Italy,MONZA,,Right Winger,1.1,36,3,4,1738,0,0,1.73,"Jan 27, 2021","Jun 30, 2023",/marco-dalessandro/profil/spieler/99232
803,Dany Mota,24,"May 2, 1998 ",Portugal,MONZA,,Centre-Forward,6.0,32,12,5,2404,0,0,1.8,"Jul 1, 2020","Jun 30, 2024",/dany-mota/profil/spieler/347253
806,Christian Gytkjaer,32,"May 6, 1990 ",Denmark,MONZA,,Centre-Forward,1.4,38,14,1,1835,0,0,1.85,"Aug 1, 2020","Jun 30, 2023",/christian-gytkjaer/profil/spieler/76274
807,Mattia Finotto,29,"Dec 28, 1992",Italy,MONZA,,Centre-Forward,0.3,14,4,0,674,0,0,1.86,"Jul 5, 2019","Jun 30, 2024",/mattia-finotto/profil/spieler/284604
